Fecha;L112 (kWh);Bot1500;Bot2000;Bot2500;Bot3000;Total L112 (bot)
2024-10-01;2.244;; 139.580 ;;; 139.580 
2024-10-02;2.301; 50.172 ;;; 74.064 ; 124.236 
2024-10-03;1.116;;; 20.640 ;; 20.640 
2024-10-04;1.851;; 30.572 ; 9.840 ; 36.414 ; 76.826 
2024-10-05;989.0;; 40.740 ;;; 40.740 
2024-10-06;250.0;;;;;
2024-10-07;1.336; 49.692 ;;;; 49.692 
2024-10-08;1.363;; 62.552 ;;; 62.552 
2024-10-09;2.001;; 126.080 ;;; 126.080 
2024-10-10;1.915;;; 34.770 ; 52.800 ; 87.570 
2024-10-11;1.92;;;; 90.678 ; 90.678 
2024-10-12;253.0;;;;;
2024-10-13;352.0;;;;;
2024-10-14;2.022;; 119.604 ;;; 119.604 
2024-10-15;1.704; 122.496 ;;;; 122.496 
2024-10-16;1.798;;;; 75.858 ; 75.858 
2024-10-17;2.291;; 161.812 ;;; 161.812 
2024-10-18;1.47;;; 62.934 ;; 62.934 
2024-10-19;807.0;; 40.272 ;;; 40.272 
2024-10-20;381.0;;;;;
2024-10-21;1.723;;;; 67.326 ; 67.326 
2024-10-22;2.156;; 155.108 ;;; 155.108 
2024-10-23;1.422;;; 58.278 ;; 58.278 
2024-10-24;1.976;; 125.952 ;;; 125.952 
2024-10-25;2.056; 53.364 ; 88.320 ;;; 141.684 
2024-10-26;960.0;; 52.160 ;;; 52.160 
2024-10-27;319.0;;;;;
2024-10-28;2.046;; 21.760 ;; 72.960 ; 94.720 
2024-10-29;2.07;; 137.136 ;;; 137.136 
2024-10-30;2.004;; 27.840 ;; 76.878 ; 104.718 
2024-10-31;254.0;;;;;
2024-11-01;94.0;;;;;
2024-11-02;136.0;;;;;
2024-11-03;331.0;;;;;
2024-11-04;1.119;;;; 30.132 ; 30.132 
2024-11-05;331.0;;;;;
2024-11-06;275.0;;;;;
2024-11-07;280.0;;;;;
2024-11-08;262.0;;;;;
2024-11-09;260.0;;;;;
2024-11-10;239.0;;;;;
2024-11-11;263.0;;;;;
2024-11-12;280.0;;;;;
2024-11-13;486.0;;;;;
2024-11-14;1.199;; 38.400 ;;; 38.400 
2024-11-15;2.011;; 124.364 ;; 15.312 ; 139.676 
2024-11-16;284.0;;;;;
2024-11-17;248.0;;;;;
2024-11-18;555.0;;;;;
2024-11-19;348.0;;;;;
2024-11-20;378.0;;;;;
2024-11-21;2.39;; 44.800 ;; 99.102 ; 143.902 
2024-11-22;1.145;; 53.440 ;;; 53.440 
2024-11-23;315.0;;;;;
2024-11-24;278.0;;;;;
2024-11-25;468.0;;;;;
2024-11-26;390.0;;;;;
2024-11-27;318.0;;;;;
2024-11-28;657.0;;;;;
2024-11-29;2.107;; 147.520 ;;; 147.520 
2024-11-30;999.0;; 56.896 ;; 4.188 ; 61.084 
2024-12-01;234.0;;;;;
2024-12-02;2.113;; 131.352 ;;; 131.352 
2024-12-03;1.971;; 64.720 ;; 43.110 ; 107.830 
2024-12-04;3.052;; 246.248 ;;; 246.248 
2024-12-05;716.0;;;;;
2024-12-06;1.264;;;; 41.568 ; 41.568 
2024-12-07;1.601;; 93.760 ;;; 93.760 
2024-12-08;286.0;;;;;
2024-12-09;2.032;; 116.336 ;;; 116.336 
2024-12-10;3.147;;;; 165.600 ; 165.600 
2024-12-11;2.971;;;; 146.748 ; 146.748 
2024-12-12;3.126;; 219.520 ;;; 219.520 
2024-12-13;2.996;; 195.280 ;;; 195.280 
2024-12-14;1.03;; 50.136 ;;; 50.136 
2024-12-15;515.0;;;;;
2024-12-16;2.269;;;; 99.378 ; 99.378 
2024-12-17;2.518;;; 129.318 ;; 129.318 
2024-12-18;2.242;; 122.416 ;;; 122.416 
2024-12-19;2.601;; 163.504 ;;; 163.504 
2024-12-20;1.492;; 41.600 ;;; 41.600 
2024-12-21;1.76;; 14.564 ;; 74.400 ; 88.964 
2024-12-22;1.873;;;; 73.176 ; 73.176 
2024-12-23;2.927;; 185.516 ;;; 185.516 
2024-12-24;2.187;;;; 93.276 ; 93.276 
2024-12-25;560.0;;;;;
2024-12-26;2.234;; 114.772 ;;; 114.772 
2024-12-27;2.667; 153.756 ;;; 28.800 ; 182.556 
2024-12-28;1.926;; 32.000 ;; 68.388 ; 100.388 
2024-12-29;2.112;; 140.000 ;;; 140.000 
2024-12-30;2.622;; 44.608 ; 83.076 ;; 127.684 
2024-12-31;2.049;; 107.452 ; 13.182 ;; 120.634 
